emp_no,first_name,last_name,birth_date,from_date,to_date,title
10002,Bezalel,Simmel,1964-06-02,1996-08-03,9999-01-01,Staff
10013,Eberhardt,Terkki,1963-06-07,1985-10-20,9999-01-01,Senior Staff
10061,Tse,Herber,1962-10-19,1989-12-02,9999-01-01,Senior Staff
10065,Satosi,Awdeh,1963-04-14,1998-05-24,9999-01-01,Engineer
10068,Charlene,Brattka,1962-11-26,1987-08-07,9999-01-01,Staff
10089,Sudharsan,Flasterstein,1963-03-21,1989-01-10,9999-01-01,Senior Staff
10095,Hilari,Morton,1965-01-03,1994-03-10,9999-01-01,Staff
10111,Hugo,Rosis,1963-08-29,1988-12-19,9999-01-01,Senior Engineer
10112,Yuichiro,Swick,1963-08-13,1998-05-01,9999-01-01,Staff
10133,Giri,Isaak,1963-12-12,1985-12-15,9999-01-01,Engineer
10147,Kazuhito,Encarnacion,1964-10-13,1987-12-18,9999-01-01,Staff
10156,Sumali,Fargier,1964-09-19,1993-05-14,9999-01-01,Engineer
10168,Dharmaraja,Stassinopoulos,1964-09-11,1986-12-06,9999-01-01,Staff
10178,Valery,Litvinov,1963-03-13,1994-03-21,9999-01-01,Staff
10181,Sibyl,Nooteboom,1963-01-22,1988-06-22,9999-01-01,Senior Engineer
10190,Arve,Fairtlough,1964-12-11,1986-06-23,9999-01-01,Engineer
10214,Tadahiko,Ciolek,1962-04-14,1988-02-29,9999-01-01,Senior Staff
10222,Tze,Nourani,1962-09-21,1986-06-08,9999-01-01,Engineer
10223,Carrsten,Schmiedel,1963-09-17,1998-04-01,9999-01-01,Engineer
10238,Mototsugu,Gire,1964-11-02,1996-05-25,9999-01-01,Engineer
10242,Lunjin,Ozeri,1964-02-22,1988-01-18,9999-01-01,Senior Engineer
10246,Basem,Teitelbaum,1962-06-23,1991-02-01,9999-01-01,Senior Engineer
10271,Sham,Eastman,1962-04-24,1986-05-23,9999-01-01,Engineer
10273,Baocai,Lieblein,1962-08-29,1985-11-06,9999-01-01,Senior Staff
10277,Isaac,Schwartzbauer,1964-08-15,1985-06-16,9999-01-01,Staff
10280,Stabislas,Delgrange,1964-10-29,1995-01-27,9999-01-01,Staff
10291,Dipayan,Seghrouchni,1965-01-23,1987-03-30,9999-01-01,Senior Staff
10301,Lucien,Staudhammer,1962-08-26,1988-05-23,9999-01-01,Senior Staff
10309,Prodip,Schusler,1964-11-06,1997-05-02,9999-01-01,Assistant Engineer
10319,Mechthild,Miyakawa,1963-03-09,1994-06-18,9999-01-01,Senior Staff
10351,Tadahiko,Strehl,1963-08-23,1995-05-01,9999-01-01,Staff
10436,Yahiko,Lammel,1963-06-17,1988-01-30,9999-01-01,Senior Staff
10465,Claudi,Shackel,1963-03-13,1994-12-11,9999-01-01,Senior Staff
10469,Munehiko,Ananiadou,1964-12-22,1992-12-26,9999-01-01,Senior Engineer
10473,Przemyslawa,Oskamp,1963-10-13,1997-09-23,9999-01-01,Engineer
10474,Kenton,Garnham,1962-02-24,1987-02-21,9999-01-01,Senior Engineer
10476,Kokou,Iisaka,1965-01-01,1987-09-20,9999-01-01,Senior Staff
10498,Valter,Cappelletti,1964-09-15,1994-03-09,9999-01-01,Engineer
10501,Susuma,Larfeldt,1962-09-09,1988-09-08,9999-01-01,Senior Engineer
10507,Kasidit,Belinskaya,1964-02-18,1990-09-30,9999-01-01,Staff
10526,Kwangho,Theuretzbacher,1963-12-31,1988-02-27,9999-01-01,Engineer
10533,Mohamadou,Smailagic,1963-06-25,1990-08-17,9999-01-01,Senior Staff
10536,Yechiam,Sambasivam,1964-10-29,1988-10-07,9999-01-01,Senior Staff
10551,Jeong,Rijsenbrij,1963-10-07,1988-08-06,9999-01-01,Senior Engineer
10553,Rajmohan,Wallrath,1964-02-08,1990-07-22,9999-01-01,Senior Engineer
10569,Sreenivas,Bashian,1962-12-03,1987-03-13,9999-01-01,Senior Staff
10571,Fun,Varman,1963-12-10,1985-02-24,9999-01-01,Assistant Engineer
10585,Sajjad,Willoner,1963-11-10,1994-08-24,9999-01-01,Senior Engineer
10590,Yongqiao,Kalloufi,1963-10-01,1986-04-09,9999-01-01,Staff
10600,Emran,Rettelbach,1963-08-17,1992-04-27,9999-01-01,Senior Staff
10606,Toshiki,Marakhovsky,1964-03-04,1987-05-02,9999-01-01,Senior Engineer
10618,Ranga,Yeung,1963-08-03,1994-10-07,9999-01-01,Engineer
10648,Marlo,Ratnaker,1962-01-19,1988-02-16,9999-01-01,Senior Engineer
