emp_no,first_name,last_name,birth_date,from_date,to_date,title
10095,Hilari,Morton,1965-01-03,1994-03-10,9999-01-01,Senior Staff
10291,Dipayan,Seghrouchni,1965-01-23,1987-03-30,9999-01-01,Staff
10476,Kokou,Iisaka,1965-01-01,1987-09-20,9999-01-01,Staff
13499,Kazuhiko,Sidou,1965-01-16,1991-09-01,9999-01-01,Technique Leader
14104,Sudhanshu,Demian,1965-01-03,1994-07-23,9999-01-01,Staff
14907,Nakhoon,Luga,1965-01-14,1986-12-18,9999-01-01,Staff
15058,Bouchung,Bugrara,1965-01-30,1990-06-18,9999-01-01,Staff
16461,Remmert,Schahn,1965-01-14,1986-09-06,9999-01-01,Staff
17206,Berry,DeMori,1965-01-02,1992-12-27,9999-01-01,Senior Engineer
18021,Adil,Matzke,1965-01-07,1987-05-08,9999-01-01,Engineer
18424,Filipp,Rousseau,1965-01-19,1995-06-07,9999-01-01,Senior Engineer
18617,Surveyors,Crouzet,1965-01-21,1989-04-24,9999-01-01,Staff
18810,Taiji,Jarecki,1965-01-09,1991-06-27,9999-01-01,Senior Engineer
19236,Elzbieta,Morris,1965-01-24,1988-07-12,9999-01-01,Engineer
19803,Ziva,Kowalchuk,1965-01-30,1987-06-13,9999-01-01,Senior Engineer
20100,Utz,Heuter,1965-01-18,1986-06-15,9999-01-01,Staff
21181,Jianhui,Cangellaris,1965-01-21,1991-10-06,9999-01-01,Engineer
21546,Yongmin,Lanteri,1965-01-01,2002-03-19,9999-01-01,Senior Staff
21843,Karsten,Azadmanesh,1965-01-09,1985-11-29,9999-01-01,Senior Engineer
22415,Perla,Jumpertz,1965-01-20,1994-08-24,9999-01-01,Senior Staff
22451,Jasminko,Bresenham,1965-01-27,1994-01-19,9999-01-01,Staff
22455,Barry,Unno,1965-01-06,1990-11-16,9999-01-01,Staff
22926,Manibrata,Genther,1965-01-01,1988-01-15,9999-01-01,Senior Engineer
23396,Hilari,Fairtlough,1965-01-02,1986-12-15,9999-01-01,Technique Leader
24205,Roddy,Rubsam,1965-01-25,1993-09-19,9999-01-01,Senior Engineer
24394,Zhonghui,Conta,1965-01-04,1994-09-10,9999-01-01,Staff
24553,Anwar,Passafiume,1965-01-12,1987-01-30,9999-01-01,Staff
26788,Zongyan,Dalphin,1965-01-25,1988-04-23,9999-01-01,Senior Engineer
27686,Manu,Rosiles,1965-01-28,1998-03-03,9999-01-01,Senior Staff
28193,Xinglin,Mitsuhashi,1965-01-29,1988-12-14,9999-01-01,Senior Engineer
